dateTime;country;total_cases;new_cases;total_deaths;new_deaths;total_recovered;active_cases;critical_cases;cases_per_million;deaths_per_million
2020-03-30T21:30:51.715042;Mexico;993;145;20;4;35;938;1;8;2
2020-03-30T21:30:51.715042;Panama;989;0;24;0;4;961;36;229;6
2020-03-30T21:30:51.715042;Peru;950;98;18;0;16;916;49;29;5
2020-03-30T21:30:51.715042;Dominican Republic;901;42;42;3;4;855;0;83;4
2020-03-30T21:30:51.715042;Singapore;879;35;3;0;228;648;19;150;5
2020-03-30T21:30:51.715042;Argentina;820;0;23;3;228;569;0;18;5
2020-03-30T21:30:51.715042;Colombia;798;96;12;2;15;771;29;16;2
2020-03-30T21:30:51.715042;Croatia;790;77;6;0;67;717;27;192;1
2020-03-30T21:30:51.715042;Serbia;785;44;16;3;42;727;62;90;2
2020-03-30T21:30:51.715042;Slovenia;756;26;11;0;10;735;28;364;5
2020-03-30T21:30:51.715042;Estonia;715;36;3;0;20;692;10;539;2
2020-03-30T21:30:51.715042;Diamond Princess;712;0;10;0;603;99;15;0;0
2020-03-30T21:30:51.715042;Qatar;693;59;1;0;51;641;6;241;3
2020-03-30T21:30:51.715042;Egypt;656;47;41;1;150;465;0;6;4
2020-03-30T21:30:51.715042;Hong Kong;642;0;4;0;118;520;5;86;5
2020-03-30T21:30:51.715042;Iraq;630;83;46;4;152;432;0;16;1
2020-03-30T21:30:51.715042;UAE;611;41;5;2;61;545;2;62;5
2020-03-30T21:30:51.715042;New Zealand;589;75;1;0;63;525;2;122;2
2020-03-30T21:30:51.715042;Algeria;584;73;35;4;37;512;0;13;8
2020-03-30T21:30:51.715042;Morocco;556;77;33;7;15;508;1;15;9
2020-03-30T21:30:51.715042;Ukraine;548;73;13;3;8;527;0;13;3
2020-03-30T21:30:51.715042;Bahrain;515;16;4;0;279;232;2;303;2
2020-03-30T21:30:51.715042;Lithuania;491;31;7;0;7;477;5;180;3
2020-03-30T21:30:51.715042;Armenia;482;58;3;0;30;449;15;163;1
2020-03-31T14:07:55.479508;USA;164798;954;3178;22;5507;156113;3512;498;10
2020-03-31T14:07:55.479508;Italy;101739;0;11591;0;14620;75528;3981;1683;192
2020-03-31T14:07:55.479508;Spain;94417;6461;8189;473;19259;66969;5607;2019;175
2020-03-31T14:07:55.479508;Germany;67051;166;682;37;15824;50545;1979;800;8
2020-03-31T14:07:55.479508;Iran;44605;3110;2898;141;14656;27051;3703;531;35
2020-03-31T14:07:55.479508;France;44550;0;3024;0;7927;33599;5056;683;46
2020-03-31T14:07:55.479508;UK;22141;0;1408;0;135;20598;163;326;21
2020-03-31T14:07:55.479508;Switzerland;16186;264;395;36;1823;13968;301;1870;46
2020-03-31T14:07:55.479508;Belgium;12775;876;705;192;1696;10374;1021;1102;61
2020-03-31T14:07:55.479508;Netherlands;12595;845;1039;175;250;11306;1053;735;61
2020-03-31T14:07:55.479508;Turkey;10827;0;168;0;162;10497;568;128;2
2020-03-31T14:07:55.479508;Austria;10019;401;128;20;1095;8796;198;1112;14
2020-03-31T14:07:55.479508;S. Korea;9786;125;162;4;5408;4216;55;191;3
2020-03-31T14:07:55.479508;Canada;7474;26;92;3;1114;6268;120;198;2
2020-03-31T14:07:55.479508;Portugal;7443;1035;160;20;43;7240;188;730;16
2020-03-31T14:07:55.479508;Israel;4831;136;17;1;163;4651;83;558;2
2020-03-31T14:07:55.479508;Brazil;4681;51;167;4;127;4387;296;22;8
2020-03-31T14:07:55.479508;Norway;4599;154;36;4;13;4550;97;848;7
2020-03-31T14:07:55.479508;Australia;4561;101;19;0;337;4205;28;179;7
2020-03-31T14:07:55.479508;Sweden;4435;407;180;34;16;4239;358;439;18
2020-03-31T14:07:55.479508;Czechia;3002;1;25;2;25;2952;64;280;2
2020-03-31T14:07:55.479508;Ireland;2910;0;54;0;5;2851;103;589;11
2020-03-31T14:07:55.479508;Denmark;2815;238;90;13;1;2724;145;486;16
2020-03-31T14:07:55.479508;Malaysia;2766;140;43;6;537;2186;94;85;1
2020-03-31T14:07:55.479508;Chile;2449;0;8;0;156;2285;14;128;4
2020-03-31T14:07:55.479508;Russia;2337;501;17;8;121;2199;8;16;1
2020-03-31T14:07:55.479508;Romania;2245;136;72;7;220;1953;62;117;4
2020-03-31T14:07:55.479508;Poland;2215;160;32;1;7;2176;50;59;8
2020-03-31T14:07:55.479508;Philippines;2084;538;88;10;49;1947;1;19;8
2020-03-31T14:07:55.479508;Luxembourg;1988;0;22;0;80;1886;31;3176;35
2020-03-31T14:07:55.479508;Ecuador;1966;0;62;0;54;1850;58;111;4
2020-03-31T14:07:55.479508;Japan;1953;0;56;0;424;1473;56;15;4
2020-03-31T14:07:55.479508;Pakistan;1865;148;25;4;76;1764;12;8;1
2020-03-31T14:07:55.479508;Thailand;1651;127;10;1;342;1299;23;24;1
2020-03-31T14:07:55.479508;Saudi Arabia;1563;110;10;2;165;1388;12;45;3
2020-03-31T14:07:55.479508;Indonesia;1528;114;136;14;81;1311;0;6;5
2020-03-31T14:07:55.479508;Finland;1418;66;17;4;10;1391;56;256;3
2020-03-31T14:07:55.479508;South Africa;1326;0;3;0;31;1292;7;22;5
2020-03-31T14:07:55.479508;India;1251;0;32;0;102;1117;0;9;2
2020-03-31T14:07:55.479508;Greece;1212;0;46;0;52;1114;72;116;4
2020-03-31T14:07:55.479508;Iceland;1135;49;2;0;157;976;25;3326;6
2020-03-31T14:07:55.479508;Mexico;1094;101;28;8;35;1031;1;8;2
2020-03-31T14:07:55.479508;Panama;1075;0;27;0;9;1039;43;249;6
2020-03-31T14:07:55.479508;Argentina;966;146;25;2;228;713;0;21;6
2020-03-31T14:07:55.479508;Peru;950;0;24;0;53;873;49;29;7
2020-03-31T14:07:55.479508;Singapore;926;47;3;0;240;683;22;158;5
2020-03-31T14:07:55.479508;Dominican Republic;901;0;42;0;4;855;0;83;4
2020-03-31T14:07:55.479508;Serbia;900;115;23;7;42;835;62;103;3
2020-03-31T14:07:55.479508;Croatia;867;77;6;0;67;794;32;211;1
2020-03-31T14:07:55.479508;Slovenia;802;46;15;4;10;777;24;386;7
2020-03-31T14:07:55.479508;Colombia;798;0;14;0;15;769;29;16;3
